'ge'li'qu'she'zhi 隔离区设置
'huan'cao'an 环草胺
'gen'fu'bing 根腐病
'zeng'qiang'fa'zhan'hou'jin 增强发展后劲
'xian'feng'zuo'wu 先锋作物
'cao'zong'zi 操纵子
'yin'chuan'you'hu'lu 银川油葫芦
'zhi'wu'liu'xing'bing'xue 植物流行病学
'shuang'lv'fen 双氯酚
'da'jing'liu'lin 哒净硫磷
'yi'guo 益果
'ji'nian'yan'hui 纪念宴会
'nong'jia'bao 农家宝
'biao'ji'kun'chong 标记昆虫
'chu'qing 初清
'xia'da'dou 夏大豆
'zheng'san'shi 蒸散势
'di'zhong're'liu 地中热流
'lian'he'mu'mian 联核木棉
'duo'liu'hua'bei 多硫化钡
'da'xi'yang'shu'hai'tun 大西洋鼠海豚
'qing'an'tai'dan'fei 氰氨态氮肥
'hua'nong'die 花弄蝶
'tong'feng'tou'guang 通风透光
'tong'yuan'si'bei'ti 同源四倍体
'zhong'zhu 种猪
'cao'zang 草葬
'zuo'jun'ling 唑菌灵
'nuo'lian 诺廉
'yang'di'zuo'wu 养地作物
'nong'ye'zi'yuan 农业资源
'shu'mei 树莓
'you'xiao'wen'du 有效温度
'shi'yong'zhi'wu'you 食用植物油
'jing'biao 精骠
'sha'qing 杀青
'bao'nie 保蘖
'di'ya'nong 地亚农
'zao'shi 早施
'lv'hua'an 氯化铵
'duan'ri'zhao'zuo'wu 短日照作物
'sang'shao'xiao'nang'chong 桑梢小囊虫
'jia'ji'liu'huan'lin 甲基硫环磷
'xing'nei'qie'he'suan 性内切核酸
'huan'jing'zhun'ze 环境准则
'ou'zhou'shan'li 欧洲山梨
'qiu'zhong 球种
'fei'ji'cao 飞机草
'xian'cai 鲜采
'yue'dong'zuo'wu 越冬作物
'xiang'jiao'shu 香蕉树
'zhou'ye'jie'lv 昼夜节律
'ji'zuo'chun 己唑醇
'ruan'fu 软腐
'wang'miao 旺苗
'ru'pin'ye 乳品业
'hui'mo'tu 灰漠土
'shui'han'lun'zuo 水旱轮作
'sui'li'fei 穗粒肥
'xu'qin'fen 畜禽粪
'dong'gua 冬瓜
'zeng'shi'zuo'yong 增湿作用
'xiao'ji'hui'ban'bing 小蓟灰斑病
'ren'fen'niao 人粪尿
'xiao'man'tong 消螨通
'sang'li'bai'fen'bing 桑里白粉病
'dou'ke'zuo'wu 豆科作物
'chao'tu 潮土
'su'liao'da'peng 塑料大棚
'shuang'kou'la 爽口辣
'wu'lv'xiao'ji'ben 五氯硝基苯
'ju'di 菊敌
'wei'ji'liang'ce'ding 微剂量测定
'zao'tai 早苔
'gu'wen'chang 谷文昌
'yin'li'zi 阴离子
'nong'ye'lao'dong'li 农业劳动力
'you'cao'shuang'ke 油草双克
'hei'tu'bao 黑土宝
'zhong'jian'xing 中间型
'bai'shu'de 百树得
'bo'qiao 薄壳
'nei'xi'sha'chong'ji 内吸杀虫剂
'xia'shou'zuo'wu 夏收作物
'ting'yuan'bu'zhi 庭园布置
'zhen'ye 真叶
'di'xian'zhi 敌线酯
'gu'yu 谷雨
'mi'da 密达
'ya'qi 芽期
'jiao'zheng 校正
'ji'jie'xing'shu'cai 季节性蔬菜
'duo'hua'hei'mai'cao 多花黑麦草
'yi'chuan'huo'de'liang 遗传获得量
'cao'gan'lin 草甘磷
'mu'zhi 亩植
'sha'xiong'qin 杀雄嗪
'you'xuan'que'mi'ju'zhi 右旋炔咪菊酯
'shen'chu 渗出
'hong'qing 烘青
'gou'shi 沟施
'xing'zhuang 性状
'yang'zhi'xiao'qu 养殖小区
'nong'cun'chan'ye'jie'gou 农村产业结构
'wen'sha'de 稳杀得
'zuo'wen'tong 唑瘟酮
'hun'xi'pin'zhong 混系品种
'xiu'fu'cuo'wu 修复错误
'zhu'dao'chan'ye 主导产业
'guang'ke'xing 光壳型
'zhong'xi'chu'chong'ju'zhi 中西除虫菊酯
'gu'li'fei 鼓粒肥
'pu'tao 蒲桃
'xin'liu'lin 辛硫磷
'ban'xi'tu 拌细土
'la'ji'shou'ji'gong 垃圾收集工
'fei'zhou'da'wo'niu 非洲大蜗牛
'shu'zhi'zhi'wu 树脂植物
'fu'gui'ju'zhi 氟硅菊酯
'ji'yue'nong'ye 集约农业
'sha'pi'lin 莎蜱磷
'he'cao'ling 禾草灵
'zi'jiao'qin'he'xi 自交亲和系
'ni'wen 逆温
'xun'zheng'ji 熏蒸剂
'yun'yan'mi'zhang 云烟迷障
'xing'bi 行比
'tu'di'suo'you'zhi 土地所有制
'shi'nan 石楠
'cheng'xu'bian'zhi 程序编制
'nong'an'lin 农安磷
'liu'lv'ben 六氯苯
'kang'dao 抗倒
'zhuan'hua 转化
'xiu'jun'qing 溴菌清
'di'liu'dai 低硫甙
'ge'cao'jia 割草佳
'feng'li'ji 风力机
'kan'er'jing 坎尔井
'hong'ling'chong'xing'you'su 红铃虫性诱素
'niang'jiu'pu'tao 酿酒葡萄
'yu'mi'fen 玉米粉
'tu'fei'zhan 土肥站
'tu'rang'huan'jing 土壤环境
'sang'juan'ye'ku'bing 桑卷叶枯病
'sha'ming'dan 杀螟丹
'zhi'wu'bing'hai 植物病害
'sheng'nong'xiu 圣农秀
'zhi'si'wen'du 致死温度
'hong'he'cheng 红河橙
'nong'tian'zhi'zhu 农田蜘蛛
'dong'lang'dang 东莨菪
'qi'guan'pei'yang 器官培养
'dong'hua 冬化
'jin'he'mei'su 金核霉素
'xiang'shi'zhao'xiang'ji 箱式照相机
'ping'jun'shu 平均数
'ye'mian'fei 叶面肥
'mi'jun'zhi 醚菌酯
'jian'ge 间隔
'jie'qiu'gan'lan 结球甘蓝
'shai'li 筛理
'tu'di'zhi'tu'dan'yuan 土地制图单元
'chu'xiong'dian'shi'tai 楚雄电视台
'fang'zhi 防治
'yi'shou'ge'ji 役收割机
'fu'mi'zuo 氟醚唑
'kang'xue'qing 抗血清
'mi'wu'ji 弥雾机
'bing'chong'hai'jian'ce 病虫害监测
'dan'fei 氮肥
'mi'jun'huan'an 嘧菌环胺
'pu'da'sha 扑打杀
'fei'di 肥地
'gan'zhe 甘蔗
'zhong'zhi'chang'qi'bao'cun'cai'liao 种质长期保存材料
'gan'shu 甘薯
'long'tou'qi'ye'jian'she 龙头企业建设
'ban'gan'han'qi'hou 半干旱气候
'chu'bei'liang'ji'jin 储备粮基金
'hao'gong'xing 毫公型
'jia'fu'ju'zhi 甲氟菊酯
'yi'jia 彝家
'pen'shi 喷施
'jiao'shi 浇施
'xiao'chu'tou 小锄头
'ri'zhen'fu 日振幅
'fu'mei'jia'shen 福美甲胂
'mei'zhou'li 美洲李
'he'kun'dui 禾捆堆
'zui'gao'nai'shou'ji'liang 最高耐受剂量
'shi'chong'meng 食虫虻
'jing'jian 茎尖
'dian'guang'ye'chan 电光叶蝉
'gao'du 高毒
'ci'tou'bi 磁头臂
'yun'wen'bing 云纹病
'yu'mi'er'deng'pin 玉米二等品
'yun'nan'sheng'nong'ye'ting 云南省农业厅
'tao'zhu'ming 桃蛀螟
'ji'jia'cun 吉家村
'gen'jing'ye 根茎叶
'tuo'guo'gui 脱果硅
'fa'gen 发根
'wan'jun'ling 万菌灵
'xi'jun'xing'qing'ku'bing 细菌性青枯病
'qiang'hua'ling'dao 强化领导
'yang'li'zi 阳离子
'gao'wen'nong'tian 高稳农田
'jiao'ru 胶乳
'ke'ji'zi'xun'fu'wu 科技咨询服务
'liang'jing'si'bi'li 粮经饲比例
'yun'tai 芸苔
'sheng'tai'xu'mu'ye 生态畜牧业
'niu'jin'cao 牛筋草
'sang'tan'ju'bing 桑炭疽病
'nan'jian'xian 南涧县
'ti'dai'xing'neng'yuan 替代性能源
'shan'ding'zi 山定子
'bian'ma'yuan 编码员
'hai'he 海禾
'mie'man'te 灭螨特
'tuan'ke'qi 团棵期
'bu'nai'zhu'cang 不耐贮藏
'nong'ji'pei'bei 农机配备
'ping'guo'ding'ya'juan'ye'e 苹果顶芽卷叶蛾
'zhu'sun 竹荪
'ye'tian'cai 叶甜菜
'gong'wu'dian'ti 公务电梯
'sang'bai'mao'chong 桑白毛虫
'zhong'hua'ju'hua'tian'niu 中华锯花天牛
'xi'shai 细筛
'kang'bing'yu'zhong 抗病育种
'chang'gui'dao 常规稻
'xiao'qiu'jun'he'bing 小球菌核病
'mi'xian'an 咪鲜胺
'fang'dao'qie'xian 防盗窃险
'duo'ji'sheng 多寄生
'kang'yuan 抗原
'ye'lv'bao 叶绿宝
'he'lie'bian 核裂变
'sheng'yu'qi'yu'ce 生育期预测
'yun'nan'nong'da 云南农大
'cao'liu'lin 草硫磷
'dai'nie'zhuang'yang 带蘖壮秧
'nuan'dong'hai 暖冬害
'you'chong'ji 诱虫剂
'xiang'guan'zhi'shu 相关指数
'xian'zhi'bao'zhan 县植保站
'tu'rang'bi're 土壤比热
'shui'li'ji'chu'she'shi 水利基础设施
'yi'jun'li 乙菌利
'shen'tou'ya 渗透压
'qi'yun'zhong 起云忠
'hu'yong 户用
'guang'da'nong'min 广大农民
'que'kou'yuan'pan'ba 缺口圆盘耙
'dian'yun'zhong'zi'qing'xuan'ji 电晕种子清选机
'tu'rang'jie'gou 土壤结构
'nong'da 农达
'fen'kai'li'he'qi 分开离合器
'lv'ye'dou 绿叶豆
'yi'bing 疫病
'pu'shou'bao 普收宝
'guo'tou'liang 过头粮
'bing'hai'xun'huan 病害循环
'guo'chi 过迟
'sang'hu'tian'niu 桑虎天牛
'za'jiao'yu'zhong 杂交育种
'gao'yuan'qi'hou 高原气候
'jiao'ban'bing 焦斑病
'han'yu'bao'mu 旱育保姆
'xue'bo 穴播
'zai'pei'fang'zhi 栽培防治
'zheng'fa'qian'li 蒸发潜力
'li'ku'si'he'jun'bing 立枯丝核菌病
'you'song 油松
'sheng'wu'fang'zhi 生物防治
'hei'zhi'bing 黑痣病
'dai'tiao'tian 带条田
'zhuang'jiao'juan 装胶卷
'sheng'jiao 生胶
'lv'jiang'jun 绿僵菌
'chong'ji'shan 冲积扇
'xian'guang'bo'dian'shi'ju 县广播电视局
'hua'er'bu'shi 花而不实
'wei'gan'ju 薇甘菊
'sha'xian'chong'ji 杀线虫剂
'cun'rong'cun'mao 村容村貌
'jin'zhen'chong'lei 金针虫类
'da'zhong'xiao'bing'ju 大中小并举
'xiao'du'mie'yuan 消毒灭源
'kang'dao'fu'xing 抗倒伏性
'zong'zhu'shu 总株数
'leng'jiao'si'gua 棱角丝瓜
'xin'wen'lai'yuan 新闻来源
'zhi'yu 滞育
'hua'ji'ma 花蓟马
'sheng'chu'chu'lan'lv 牲畜出栏率
'luo'cao'an 落草胺
'zhi'wu'yi'qing 植物疫情
'er'shi'ba'xing'piao'chong 二十八星瓢虫
'jing'zuo 经作
'jing'zhong 净种
'nuo'gao'liang 糯高粱
'xu'fei'liang 需肥量
'mei'zhou'ye'niu 美洲野牛
'chong'man'ling 虫螨灵
'zheng'jiao'duo'xiang'shi 正交多项式
'yan'ban'bing 眼斑病
'da'lu'xing'qi'hou 大陆性气候
'zhong'zhi'pu 种质圃
'ke'ke'xiang'chong 可可象虫
'shui'li'ju 水利局
'cai'pu'tao 采葡萄
'guo'mian 果面
'nong'ji'ju'gou'zhi'bu'tie'zheng'ce 农机具购置补贴政策
'nei'xi'lin 内吸磷
'tao'guan'pai'shui 陶管排水
'mei'guo'shi'zhu 美国石竹
'liang'shu 凉薯
'tong'yong'ji'jia 通用机架
'feng'xuan'ji 风选机
'shen'keng'chi'ye'e 肾坑翅夜蛾
'hei'qian'ying 黑潜蝇
'ji'bing'zhen'duan 疾病诊断
'zhu'hang'fa 株行法
'fan'zhi'lv 繁殖率
'hua'hui'zai'pei 花卉栽培
'fa'ke 发棵
'shi'hui'tu 石灰土
'gong'tu 公兔
'huang'lan 黄兰
'jing'ji'fu'yuan 经济复原
'fang'xiang'zuo'wu 芳香作物
'kang'han 抗寒
'fu'she'bao'cang 辐射保藏
'dao'qu'bing 稻曲病
'biao'zhun'cha 标准差
'wei'xiao'ji'yin'kang 微效基因抗
'biao'zhun'hua'sheng'chan 标准化生产
'shi'yan'wu'cha 试验误差
'zhu'zi'ji'lu 逐字纪录
'ci'cun'chu'qi 磁存储器
'xiu'fu'guo'cheng 修复过程
'bing'xiu'lin 丙溴磷
'yu'shan'dou 羽扇豆
'yi'gan'chong'xing 易感虫性
'chun'zhong'ma 纯种马
'shu'cai'zai'pei 蔬菜栽培
'su'yuan'chun 粟缘蝽
'gu'liang'cang 谷粮仓
'xiang'liao'zuo'wu 香料作物
'zhen'sui'xiang'hu'zuo'yong 砧穗相互作用
'nong'ye'qi'xiang'chan'liang'yu'bao 农业气象产量预报
'gu'fen'ji'jin 股份基金
'jie'xing'ye'wo 截形叶蜗
'lin'she 林麝
'cao'chu'ling 草除灵
'nong'chan'pin'yi'gou 农产品议购
'di'qing 迪庆
'hua'mei'cao 画眉草
'qu'xing 趋性
'nai'yang'bing'cao'an 萘氧丙草胺
'cu'sheng 簇生
'shi'ji'shou'ru 实际收入
'jing'ji'fu'bing 茎基腐病
'ju'tian'niu 菊天牛
'duo'xiao'zuo 多效唑
'qi'miao 齐苗
'you'ji'fei'shui 有机废水
'qin'ran'xing 侵染性
'er'shi'tan'xi'tong 二十碳烯酮
'tun'yu 屯玉
'ying'zao'shang 营造商
'fen'bu'yu'ce 分布预测
'ai'fu'ding 爱福丁
'yuan'yuan'zhong 原原种
'chu'shu 处暑
'suo'man'tong 羧螨酮
'du'zhong 杜仲
'song'que'ying 松雀鹰
'kuai'ling 快灵
'bo'er'duo'ye 波尔多液
'sang'xi'jun'xing'yi'bing 桑细菌性疫病
'ma'lei'yan'jiu'suo 麻类研究所
'tang'liu 塘留
'ying'du'lin 蝇毒磷
'que'fa'lao'li 缺乏劳力
'ce'ju'qi 测距器
'gong'tong 珙桐
'jing'ji'bo'dong 经济波动
'you'ji'za'huan 有机杂环
'da'hua'qian'niu 大花牵牛
'chu'ren'ji'zhe 初任记者
'jia'xian'niao'lei 甲酰脲类
'tu'di'gui'hua 土地规划
'you'cai'shuang'di'yu'zhong 油菜双低育种
'gu'dan'zuo'yong 固氮作用
'shou'shui'yuan 收税员
'tiao'jie'lin 调节磷
'zhu'gan 竹杆
'huang'cao'lin 磺草磷
'you'sui'fen'hua'qi 幼穗分化期
'tu'ku'man'tiao'jia 土库曼跳甲
'gao'ji'bao'zhi 高级报纸
'zhong'xi'sha'mie'ju'zhi 中西杀灭菊酯
'gai'liang'pin'zhong 改良品种
'nong'ye'qi'xiang'xue 农业气象学
'wei'hai'cheng'du'yu'ce 危害程度预测
'shuang'hai 霜害
'sang'fen'shi 桑粉虱
'tan'shui'hua'he'wu 碳水化合物
'yin'chong'wei 茚虫威
'pai'cao'jing 排草净
'ci'shan'yang 雌山羊
'yi'sai'ang 益赛昂
'huo'dong'che'peng'qi'che 活动车篷汽车
'hui'ni 灰泥
'duan'nai'fei 断奶肥
'liu'mi'lin 硫醚磷
'sang'he'ban'bing 桑褐斑病
'fu'yi'ling 伏蚁灵
'jie'qiu'wo'ju 结球莴苣
'sang'ye'man 桑叶螨
'yang'tian 秧田
'zhuang'ji'sha'chong 撞击杀虫
'miao'fei 苗肥
'si'ying'cheng'fen 私营成分
'shuai'bian'chang'shu 衰变常数
'mei'zhi 每枝
'bai'pi'song 白皮松
'ben'an'ling 苯胺灵
'lin'liu'wei 磷硫威
'kuang'zhi'dan 矿质氮
'yun'cao'ping 允草平
'jiao'jie'dian 交结点
'zeng'xiao'zhi 增效酯
'han'cao'ku 旱草枯
'shi'hai 湿害
'e'chong'wei 恶虫威
'mao'guan'rong'liang 毛管容量
'xin'qing 辛氰
'he'yuan'hu 河源湖
'miao'ruo 苗弱
'kang'ying'wei 抗蝇威
'hong'yu 宏裕
'biao'zhun'shui 标准水
'jun'he'gan'fu'bing 菌核秆腐病
'jiao'shi 较湿
'nai'xing'zuo'wu 耐性作物
'lan'yang'bing 烂秧病
'yuan'shi'nong'ye 原始农业
'ri'bian'hua 日变化
'bu'kuo 捕阔
'xi'jun'tong 烯菌酮
'fen'xiang 分厢
'wu'xiu 五溴
'zheng'teng 蒸腾
'fu'jie'an 氟蚧胺
'huang'pi 黄皮
'can'dou'mi 蚕豆米
'se'er'bao'sui'fu'bing 色二孢穗腐病
'tu'ceng'shen'hou 土层深厚
'tu'er'qi'yu'shai 土耳其玉色
'zhong'yi'ji 种衣剂
'xian'zhi 仙治
'yang'hua'ya'tong 氧化亚铜
'sheng'li'gan'han 生理干旱
'nai'zhu'cang 耐贮藏
'pu'ju'xi'tang 葡聚烯糖
'jia'ji'tuo'bu'jin 甲基托布津
'luo'guo 落果
'shu'cai'zuo'wu 蔬菜作物
'tiao'shi 条施
'yin'du'lian 印度楝
'jun'fang 均方
'gao'liang'ya 高粱蚜
'ma'ke 麻壳
'shi'fei'bo'zhong'ji 施肥播种机
'si'miao 死苗
'wen'shu'lan 文殊兰
'ye'yuan'jie 椰圆蚧
'chu'san'cai 除三菜
'shi'yi'xing 适宜性
'quan'mian'chang'kai 全面敞开
'di'jun'dan 敌菌丹
'lin'hua'lv 磷化铝
'dou'xing 豆星
'tu'rang'jie'chi'du 土壤结持度
'zhi'ma'ling 芝麻灵
'nei'ji'sheng'wu 内寄生物
'sha'ling'niao 杀铃脲
'nong'xue 农学
'pu'tao'zha'zhi'ji 葡萄榨汁机
'fu'he'jia'ting 复合家庭
'hao'yi'jing 好易净
'shang'pin'hua 商品化
'huan'jing'e'hua 环境恶化
'tian'mao 田毛
'qie'ye'feng 切叶蜂
'shi'er'tan'xi'chun 十二碳烯醇
'yi'chong'ling 抑虫灵
'su'hui'ming 粟灰螟
'yun'liang 云量
'liu'dai'tan'suan'na 硫代碳酸钠
'qing'hua'liu 氢化硫
'tian'mian'ling'chong 田棉铃虫
'xiang'shi'zhu 香石竹
'miao'qi 苗齐
'fu'ling 拂菱
'liu'shuang'mie'duo'wei 硫双灭多威
'yi'cao'ding 乙草丁
'zu'ge'zhi 组阁制
'bo'he 薄荷
'yi'mai'chang 义卖场
'mie'yi'ling 灭蚁灵
'mu'fu'jun 木腐菌
'shu'cha 熟茶
'huo'luo'ban'zi 活络扳子
'ding'xiang'mi'zhi 定向密植
'qian'chu 千锄
'ai'hua'ye'bing 矮花叶病
'liu'lan'ye'jia 柳蓝叶甲
'he'shui'meng'zhang 河水猛涨
'bai'cao 稗草
'cha'he'se'ye'ban'bing 茶褐色叶斑病
'za'cao 杂草
'suan'lian 酸炼
'hui'he'se 灰褐色
'wu'xing'xi'zhen'mu 无性系砧木
'song'cai'xian'chong 松材线虫
'tao'geng 套耕
'xiao'can 小蚕
'bo'zai 播栽
'yue'gua 越瓜
'dou'yan 窦炎
'qing'fen 清粉
'xi'bie'hui 惜别会
'ju'qian'ye'ying 菊潜叶蝇
'tong'wei'su 同位素
'dui'lv'er'jia'ben'fen 对氯二甲苯酚
'zheng'gai'ti'gao 整改提高
'dao'cao'long 稻草龙
'zi'nan 自南
'dou'qu 斗渠
'han'lu'feng 寒露风
'jue'yi'cao'an 决议草案
'liang'ci'bao'guang 两次曝光
'dai'zhuang'chuang'zhen 带状疮疹
'xi'mai 洗麦
'pai'cao'dan 哌草丹
'huang'xi'lin 磺吸磷
'han'di 旱地
'qi'hou'xun'hua 气候驯化
'ye'cai'lei'shu'cai 叶菜类蔬菜
'guang'mie'ling 广灭灵
'dan'zhu'xuan'ze 单株选择
'nang'di'shu 囊地鼠
'fa'jiao'su'jun 发酵素菌
'ba'wei'wei'zu 八位位组
'shu'yi'xue 树艺学
'da'qing'ye'chan 大青叶蝉
'she'ying'tui'che 摄影推车
'you'ma 幼马
'mu'shi 亩施
'jian'shen'za'jiao 渐渗杂交
'zuo'guo 座果
'fu'she'mie'jun 辐射灭菌
'xi'hu'lu 西葫芦
'mi'huang'long 嘧黄隆
'cheng'shu'qi 成熟期
'ku'qiao 苦荞
'mian'ye'chan 棉叶蝉
'ce'tu'pei'fang 测土配方
'yuan'yi'xue 园艺学
'duo'guang'pu'sao'miao'yi 多光谱扫描仪
'pei'fei 配肥
'die'dan'jing 叠氮净
'gong'hua'he'wu 汞化合物
'mu'xiang 木香
'huan'jing'wei'hai 环境危害
'fu'ye 复叶
'shi'yao 施药
'yue'xia 越夏
'hao'gan'fu'gai 蒿秆覆盖
'tu'yang 土样
'zhu'geng 筑埂
'san'ben'lin 三苯磷
'ci'xing'bu'yu 雌性不育
'zi'cai'li 紫菜莉
'gou'zhi 沟直
'xian'cai'zheng'ju 县财政局
'kui'e'lin 喹恶磷
'sai'man'tong 噻螨酮
'wan'bo 晚播
'su'pu'sha 速扑杀
'bing'fei 饼肥
'duo'leng'da'mai 多棱大麦
'jia'pai'ding 甲哌啶
'tu'rang'geng'zuo'zhi 土壤耕作制
'ku'shen'jian 苦参碱
'fu'qing'wu'ju'zhi 氟氰戊菊酯
'chong'qing'diao'cha 虫情调查
'dong'yu'mi 冬玉米
'tuo'ni'ban 托泥板
'yi'liu'ben'wei 乙硫苯威
'zhong'qiu 种球
'ye'mian'shi'fei 叶面施肥
'le'guo 乐果
'feng'xing'qi 封行期
'duo'li'xing'hua'sheng 多粒型花生
'dou'hui'die 豆灰蝶
'le'ge 乐戈
'nong'ye'qi'hou'qu'hua 农业气候区划
'le'si'ben 乐斯本
'sui'xiao 穗小
'wu'lv'fen 五氯酚
'kang'bian'ji 抗变剂
'zhu'shui'liang 贮水量
'wu'xu'xue 无须鳕
'shun'chu 顺锄
'pan'tao 蟠桃
'shi'zhuang'tiao'pei'shi 时装调配师
'you'mai 莜麦
'zi'se'tu 紫色土
'fang'she'sheng'wu'xue 放射生物学
'zhong'zi'chu'bei 种子储备
'dai'hua 带化
'zeng'xiao'lin 增效磷
'zhi'xi'jia'ting 直系家庭
'he'zhi'hu'zuo 核质互作
'dao'tian'mian'ling'chong 稻田棉铃虫
'shun'xu'pai'lie 顺序排列
'huo'cong 火葱
'su'dong'gan'zao 速冻干燥
'gou'ni 沟泥
'you'hai'sheng'wu'zong'he'zhi'li 有害生物综合治理
'bian'tai'mi 苄酞醚
'li'ti'bao'cun 离体保存
'zui'die'hua 醉蝶花
'jia'gong'xing'yu'mi 加工型玉米
'sang'huang 桑蟥
'lei'qi'shou'fen 蕾期授粉
'jia'nai'wei 甲萘威
'ci'xuan 磁选
'cheng'pi'chu'li 成批处理
'can'liu'wu 残留物
'jia'mi'huang'long 甲嘧磺隆
'xin'nian'hui 新年会
'ban'huo 拌和
'duan'guo'zhi 短果枝
'xing'huang'dan 兴黄单
'nong'zuo'wu 农作物
'tu'rang'xi'shi'shui 土壤吸湿水
'gan'wu'zhi 干物质
'dou'lei'shu'cai 豆类蔬菜
'zhi'wu'jian'yi 植物检疫
'chao'di'wen 超低温
'zhi'bing'xing 致病性
'lu'di'sheng'tai'xi'tong 陆地生态系统
'ye'hu'sheng 叶互生
'ye'sheng'jun 野生菌
'bao'hao'hong 保好鸿
'nong'ye'xin'ji'shu 农业新技术
'nen'shao 嫩梢
'shi'yan'xiao'qu 试验小区
'gao'jiao'jiao 高脚蕉
'zhong'kang 中抗
'nong'ye'shui'li'hua 农业水利化
'chu'an'lin 畜安磷
'shang'pin'cai'yuan 商品菜园
'ran'se'ti'gong'cheng 染色体工程
'zhong'chuan'bing'hai 种传病害
'nong'ye'wang'zhan 农业网站
'mie'chong'long 灭虫隆
'zhu'you'qiang 注油枪
'shuang'xiao'ling 双效灵
'guo'shu'zai'pei 果树栽培
'ke'mie'shu 克灭鼠
'sha'chong'shuang 杀虫双
'pei'fen 配粉
'shui'fen'li'yong'xi'shu 水分利用系数
'xu'mu'ye'fen'qu 畜牧业分区
'chi'mei'qing 赤霉清
'zui'xiao'xian'zhu'cha'shu 最小显著差数
'da'nong'chang'zhu 大农场主
'qing'can'dou 青蚕豆
'wu'jia'guan'zhi 物价管制
'lv'fu'cao'chu 氯氟草除
'lian'yin'yu 连阴雨
'lun'xie'di 轮歇地
'xin'you'ling 信优灵
'ji'ya'peng'hua 挤压膨化
'ke'xing'na 苛性钠
'chi'xu'nong'ye 持续农业
'dai'huan'xi 代换系
'pu'tao'jiu'cheng 葡萄酒城
'nong'xue'zhuan'ye'ci'hui 农学专业词汇
'chen'ji'wu 沉积物
'ji'ben'nong'tian 基本农田
'gong'di'qian 功底浅
'qu'chong'wei 驱虫威
'da'ao'xia 大螯虾
'xiu'man'zhi 溴螨酯
'wu'xing'fan'zhi 无性繁殖
'shi'ying'xing'qiang 适应性强
'zhi'li'cao'mei 智利草莓
'nong'chan'pin'shang'pin'lv 农产品商品率
'mi'jun'jing 咪菌腈
'ma'jun'wei 吗菌威
'ping'di 平地
'sao'bo'te 扫茀特
'shuang'jiang 霜降
'tu'rang'bi'zhong 土壤比重
'di're'neng 地热能
'jia'huang'long 甲黄隆
'yu'mian 豫棉
'dai'dong'neng'li 带动能力
'zi'ran'li 自然历
'luan'jun 卵菌
'yu'dai'feng'die 玉带凤蝶
'que'cao'an 炔草胺
'chun'xing 春性
'pin'zhong'jian'ding 品种鉴定
'xiang'jiao'bai'yi 橡胶白蚁
'sui'mi'suo'cao 碎米莎草
'sha'du'fan 杀毒矾
'kang'bing'xing 抗病性
'xiao'lai'dou 小莱豆
'sha'ke'er 杀克尔
'fa'sheng'liang'yu'ce 发生量预测
'yang'cui'que 洋翠雀
'wu'jiu 乌桕
'zhou'nong'ji'jian'li'suo 州农机监理所
'jing'xiang'jia 茎象甲
'chu'di 锄地
'liang'shi'zheng'gou'ji'shu 粮食征购基数
'ri'zhao'shi'jian 日照时间
'shu'rou 薯肉
'guo'ji'xin'wen'xie'hui 国际新闻协会
'ding'xiang'jun'zhi 丁香菌酯
'la'ji'chu'zhi 垃圾处置
'gen'fu'man 根腐瞒
'zao'sheng'kuai'fa 早生快发
'hei'yi 黑彝
'feng'xuan 风选
'kui'man'mi 喹螨醚
'bian'ye'cong 扁叶葱
'cun'huo'lv 存活率
'cai'gua 菜瓜
'hua'xing 花型
'tian'zhi'xing 甜质型
'tian'jian'guan'li 田间管理
'shai'dou'gui'chun 筛豆龟蝽
'di'xing'xiao'qi'hou 地形小气候
'bai'shi 白虱
'mai'chang'guan'ya 麦长管蚜
'kang'xiu 抗锈
'shi'kou'xing 适口性
'xiu'jian 修剪
'luo'lei 落蕾
'hu'jun 户均
'ao'he'ji 螯合剂
'ke'shi'xing'fen'ji 可湿性粉剂
'mian'ya 棉蚜
'fen'nie'shao 分蘖少
'sheng'tai'lv'you 生态旅游
'wan'dou 豌豆
'shi'fan'yang'ban 示范样板
'ke'jia'zhong'yi'ji 克甲种衣剂
'ying'yin'ji 影印机
'wu'xian'hua'xu 无限花序
'da'gou 大沟
'yang'yi'que'ju 氧乙炔炬
'gu'chan 估产
'jing'jiu'nong'ye 精久农业
'yu'gan'zi 余甘子
'zi'dai 子代
'tiao'mi'chun 调嘧醇
'dong'han'cai 冬寒菜
'xin'fei 锌肥
'zheng'qi'zheng'liu 蒸汽蒸馏
'chun'lv 纯氯
'pu'sha'te 普杀特
'ya'zhuang 芽壮
'fang'dao'bao'xian 防盗保险
'jian'zhuang'miao 健壮苗
'luo'kui 落葵
'shuang'shu'niao 双鼠脲
'jia'qiao'lei 甲壳类
'ke'jun'tong 克菌铜
'niu'ying'wei 牛蝇威
'wei'hai'cheng'du 危害程度
'han'le'ning'zan'ding 韩乐宁暂定
'wang'nian'can'hui 忘年餐会
'duo'xi'pin'zhong 多系品种
'nong'zi'shi'chang'zheng'zhi 农资市场整治
'si'da'mu 斯达姆
'jia'ting'yan'hui 家庭宴会
'mi'du'zhi'yue'yin'zi 密度制约因子
'bu'xuan'ze'xing 不选择性
'gai'cao 盖草
'xian'dai'nong'ye 现代农业
'ke'duo'zhong'yi'ji 克多种衣剂
'fu'jia'zhong'yi'ji 福甲种衣剂
