'a'ke'tai 阿克泰
'guang'xi'nong'ke'yuan'zhi'bao'shi'yan'chang 广西农科院植保实验厂
'guang'xi'nong'ke'zhi'bao'shi'yan'chang 广西农科植保试验厂
'guang'xi'nong'xi'zuo'wu'ke'xue'you'xian'gong'si 广西农喜作物科学有限公司
'guang'xi'pen'shi'bao'you'xian'zong'gong'si 广西喷施宝有限总公司
'guang'xi'ping'le'nong'yao'chang 广西平乐农药厂
'guang'xi'ping'le'xian'hua'xue'gong'ye'gong'si 广西平乐县化学工业公司
'guang'xi'ping'le'ye'niu'you'xian'ze'ren'gong'si 广西平乐野牛有限责任公司
'guang'xi'ping'nan'xian'heng'long'ri'yong'hua'gong 广西平南县恒龙日用化工
'guang'xi'ping'nan'xian'jin'tai'hua'gong'you'xian'gong'si 广西平南县金泰化工有限公司
'guang'xi'ping'nan'xian'shuang'li'ri'hua'you'xian'gong'si 广西平南县双力日化有限公司
'guang'xi'qin'zhou'gu'chong'jing'zong'chang 广西钦州谷虫净总厂
'guang'xi'shang'si'xian'nong'yao'chang 广西上思县农药厂
'guang'xi'tian'yuan'sheng'hua'gu'fen'you'xian'gong'si 广西田园生化股份有限公司
'guang'xi'wu'zhou'meng'shan'xian'guang'zi'wen'xiang'chang 广西梧州蒙山县广字蚊香厂
'guang'xi'xin'jin'tai'hua'gong'you'xian'gong'si 广西鑫金泰化工有限公司
'guang'xi'xing'an'xian'nong'yao'chang 广西兴安县农药厂
'guang'xi'xing'gui'nong'yong'hua'gong'you'xian'gong'si 广西兴桂农用化工有限公司
'guang'xi'yi'duo'shou'sheng'wu'ke'ji'you'xian'gong'si 广西易多收生物科技有限公司
'guang'xi'yu'lin'shi'ke'lian'hua'xue'you'xian'gong'si 广西玉林市科联化学有限公司
'guang'xi'yu'lin'shi'ke'xing'hua'gong'you'xian'gong'si 广西玉林市科星化工有限公司
'guang'xi'yu'lin'shi'nong'bao'nong'yao'chang 广西玉林市农宝农药厂
'guang'xi'zhi'bao'nong'yao'chang 广西植保农药厂
'guang'xi'zhong'shan'xian'nong'yao'chang 广西钟山县农药厂
'guang'xi'zhuang'zu'zi'zhi'qu'hua'gong'yan'jiu'yuan 广西壮族自治区化工研究院
'guang'xi'zi'zhu'hua'gong'you'xian'gong'si 广西自主化工有限公司
'gui'sai'jun'an 硅噻菌胺
'gui'zhou'dao'yuan'ke'ji'you'xian'gong'si 贵州道元科技有限公司
'gui'zhou'gui'da'ke'ji'chan'ye'you'xian'ze'ren'gong'si 贵州贵大科技产业有限责任公司
'gui'zhou'li'er'hua'gong'you'xian'gong'si 贵州利尔化工有限公司
'gui'zhou'run'bao'hua'xue'you'xian'gong'si 贵州润宝化学有限公司
'gui'zhou'sheng'bi'jie'di'qu'min'qian'hua'gong'chang 贵州省毕节地区闽黔化工厂
'gui'zhou'sheng'gui'yang'fu'min'nong'yao'chang 贵州省贵阳富民农药厂
'gui'zhou'sheng'gui'yang'nong'yao'chang 贵州省贵阳农药厂
'gui'zhou'sheng'hua'gong'yan'jiu'yuan 贵州省化工研究院
'gui'zhou'sheng'lian'jiang'hua'gong'chang 贵州省涟江化工厂
'gui'zhou'sheng'nong'ke'yuan'zhi'bao'suo'nong'yao'shi'yan'chang 贵州省农科院植保所农药实验厂
'gui'zhou'sheng'qian'de'nong'yao'fa'zhan'you'xian'gong'si 贵州省黔德农药发展有限公司
'gui'zhou'sheng'qian'dong'nan'nong'ye'kai'fa'gong'si 贵州省黔东南农业开发公司
'gui'zhou'sheng'san'yi'sheng'hua'you'xian'gong'si 贵州省三益生化有限公司
'gui'zhou'sheng'zi'qian'nan'zhi'zhou'zhong'xin'zhi'wu'yi'yuan 贵州省自黔南治州中心植物医院
'gui'zhou'sheng'zun'yi'di'qu'nong'lin'nong'yao'chang 贵州省遵义地区农林农药厂
'gui'zhou'sheng'zun'yi'shi'wu'feng'nong'yao'fen'zhuang'chang 贵州省遵义市务风农药分装厂
'gui'zhou'tian'he'nong'ke'you'xian'gong'si 贵州天和农科有限公司
'gui'zhou'yuan'tai'ke'ji'you'xian'ze'ren'gong'si 贵州元泰科技有限责任公司
'gui'zhou'zun'yi'quan'tong'hua'gong'chang 贵州遵义泉通化工厂
'guo'jia'fa'zhan'yu'gai'ge'wei'yuan'hui 国家发展与改革委员会
'hai'nan'bai'jia'hua'xue'zhi'pin'you'xian'gong'si 海南百佳化学制品有限公司
'hai'nan'bo'shi'wei'nong'yong'hua'xue'you'xian'gong'si 海南博士威农用化学有限公司
'hai'nan'hua'qiao'nong'yao'chang 海南华侨农药厂
'hai'nan'jia'he'da'nong'ye'hua'gong'you'xian'gong'si 海南佳禾达农业化工有限公司
'hai'nan'jiang'he'nong'yao'hua'gong'chang 海南江河农药化工厂
'hai'nan'jin'hua'nong'yao'chang 海南金华农药厂
'hai'nan'li'meng'te'sheng'wu'nong'yao'you'xian'gong'si 海南利蒙特生物农药有限公司
'hai'nan'li'zhi'sheng'wu'gong'cheng'you'xian'ze'ren'gong'si 海南力智生物工程有限责任公司
'hai'nan'nan'qi'sheng'wu'gong'cheng'you'xian'gong'si 海南南奇生物工程有限公司
'hai'nan'run'he'nong'yao'you'xian'gong'si 海南润禾农药有限公司
'hai'nan'wei'yuan'hong'chang'sheng'wu'yao'ye'you'xian'gong'si 海南威远宏昶生物药业有限公司
'hai'nan'zheng'ye'zhong'nong'gao'ke'gu'fen'you'xian'gong'si 海南正业中农高科股份有限公司
'han'guo'guo'bao'yao'ye'you'xian'gong'si 韩国国宝药业有限公司
'han'guo'han'gao'jia'ting'hu'li'you'xian'gong'si 韩国汉高家庭护理有限公司
'han'guo'han'shi'yao'pin'gong'si 韩国韩世药品公司
'han'guo'jin'xing'jing'mi'hua'xue'zhu'shi'hui'she 韩国进兴精密化学株式会社
'han'guo'jing'zhen'zhi'yao'zhu'shi'hui'she 韩国精镇制药株式会社
'han'guo'le'xi'hua'xue'zhu'shi'hui'she 韩国乐喜化学株式会社
'han'guo'lv'se'zhi'yao'zhu'shi'hui'she 韩国绿色制药株式会社
'han'guo'tai'guang'zhi'yao'gu'fen'you'xian'gong'si 韩国泰光制药股份有限公司
'he'bei'run'da'nong'yao'hua'gong'you'xian'gong'si 河北润达农药化工有限公司
'he'bei'sheng'nong'yao'gong'ye'ke'ji'kai'fa'zhong'xin 河北省农药工业科技开发中心
'he'bei'sheng'nong'yao'hua'gong'you'xian'gong'si 河北省农药化工有限公司
'he'bei'sheng'nong'ye'da'xue'nong'yao'shi'yan'chang 河北省农业大学农药试验厂
'he'cao'ling 禾草灵
'he'fei'feng'le'ke'ji'you'xian'ze'ren'gong'si 合肥丰乐科技有限责任公司
'he'fei'jiu'yi'nong'ye'kai'fa'you'xian'gong'si 合肥久易农业开发有限公司
'he'fei'shi 褐飞虱
'he'fei'xing'yu'hua'xue'you'xian'ze'ren'gong'si 合肥星宇化学有限责任公司
'he'lan'lu'sen'gong'si 荷兰路森公司
'he'nan'nong'ye'da'xue'kang'tuo'ke'mao'gong'si 河南农业大学康拓科贸公司
'he'nan'nong'ye'da'xue'sheng'wu'hua'gong'shi'yan'chang 河南农业大学生物化工实验厂
'hong'tai'yang'ji'tuan'you'xian'gong'si 红太阳集团有限公司
'hu'nan'da'fang'nong'hua'you'xian'gong'si 湖南大方农化有限公司
'hu'nan'jin'sui'nong'yao'you'xian'gong'si 湖南金穗农药有限公司
'hu'nan'sui'feng'hua'gong'you'xian'gong'si 湖南穗丰化工有限公司
'hua'guang'mei'su 华光霉素
'huan'bing'jin 环丙津
'huan'bing'zuo'chun 环丙唑醇
'huan'cao'an 环草胺
'huan'cao'dan 环草丹
'huan'ji'ji'jia'suan'xin 环己基甲酸锌
'huan'ju'zhi 环菊酯
'huan'jun'an 环菌胺
'huan'qiang'man 环羟螨
'huan'qin'tong 环嗪酮
'huan'xi 环烯
'huan'zuo'chun 环唑醇
'huang'ben'jing 磺苯腈
'huang'cao'lin 磺草磷
'huang'cao'ling 磺草灵
'huang'cao'tong 磺草酮
'huang'jun'an 磺菌胺
'huang'jun'wei 磺菌威
'huang'xi'lin 磺吸磷
'hui'fei'shi 灰飞虱
'hui'hao'su 茴蒿素
'hun'mie'wei 混灭威
'hun'sha'wei 混杀威
'ji'nan'hua'feng'shi'ye'you'xian'gong'si 济南华峰实业有限公司
'ji'shu'jian'du'ju 技术监督局
'ji'tong'man'zhi 季酮螨酯
'ji'tuan'gong'si 集团公司
'ji'tuan'you'xian'gong'si 集团有限公司
'ji'xi'nong'hua'sheng'wu'ke'ji'you'xian'gong'si 绩溪农华生物科技有限公司
'ji'xi'xian'qing'feng'tian'ying'sheng'hua'you'xian'gong'si 绩溪县庆丰天鹰生化有限公司
'ji'you 机油
'ji'zuo'chun 己唑醇
'jia'an'ji'a'wei'jun'su 甲氨基阿维菌素
'jia'an'ji'a'wei'jun'su'ben'jia'suan'yan 甲氨基阿维菌素苯甲酸盐
'jia'an'ji'a'wei'jun'su'ben'jia'suan'yan 甲胺基阿维菌素苯甲酸盐
'jia'an'lin 甲胺磷
'jia'ban'lin 甲拌磷
'jia'cao'mi 甲草醚
'jia'fu'ju'zhi 甲氟菊酯
'jia'fu'xian'an 甲呋酰胺
'jia'fu'xian'ben'an 甲呋酰苯胺
'jia'huang'chong'zong 甲磺虫腙
'jia'huang'long 甲磺隆
'jia'huang'wei 甲磺威
'jia'ji'du'si'pi 甲基毒死蜱
'jia'ji'dui'liu'lin 甲基对硫磷
'jia'ji'er'huang'long 甲基二磺隆
'jia'ji'li'ku'lin 甲基立枯磷
'jia'ji'liu'huan'lin 甲基硫环磷
'jia'ji'liu'jun'ling 甲基硫菌灵
'jia'ji'liu'jun'ling'liu 甲基硫菌灵硫
'jia'ji'liu'pu'jin 甲基硫扑津
'jia'ji'mi'ding'lin 甲基嘧啶磷
'jia'ji'shen'suan'xin 甲基胂酸锌
'jia'ji'shi'ba'xi 甲基十八烯
'jia'ji'xin'liu'lin 甲基辛硫磷
'jia'ji'yi'liu'lin 甲基异柳磷
'jia'ji'yi'zhi'lin 甲基乙酯磷
'jia'jun'li 甲菌利
'jia'liu'lin 甲硫磷
'jia'liu'mie 甲硫灭
'jia'mei'ling 甲霉灵
'jia'meng'su 甲猛素
'jia'mi'huang'long 甲嘧磺隆
'jia'mi'huang'long 甲醚磺隆
'jia'na'da'hai'ruo'lai'ke'gong'si 加拿大海若莱克公司
'jia'na'da'shu'hai'kong'zhi'gong'si 加拿大鼠害控制公司
'jia'nai'wei 甲萘威
'jia'pai'ding 甲哌啶
'jia'pu'lin 甲扑磷
'jia'qiang'weng 甲羟鎓
'jia'qing'ju'zhi 甲氰菊脂
'jia'sai 甲噻
'jia'shuang'an 甲霜安
'jia'shuang'ling 甲霜灵
'jia'shuang'meng'xin 甲霜锰锌
'jia'wei 甲维
'jia'wei'yan 甲维盐
'jia'xiang'jun'zhi 甲香菌酯
'jia'yang'chong'xian'jing 甲氧虫酰肼
'jia'yang'di'di'ti 甲氧滴滴涕
'jia'yang'du'cao'an 甲氧毒草胺
'jia'yang'long 甲氧隆
'jia'yang'qin'huang'long 甲氧嗪磺隆
'jian'shi'liu'suan'tong 碱式硫酸铜
'jiang'su'ai'ze'hua'gong'shi'ye'you'xian'gong'si 江苏艾泽化工实业有限公司
'jiang'su'an'bang'dian'hua'you'xian'gong'si 江苏安邦电化有限公司
'jiang'su'bai'ling'nong'hua'you'xian'gong'si 江苏百灵农化有限公司
'jiang'su'bao'ling'hua'gong'gu'fen'you'xian'gong'si 江苏宝灵化工股份有限公司
'jiang'su'chang'long'hua'gong'you'xian'gong'si 江苏常隆化工有限公司
'jiang'su'chang'qing'nong'hua'gu'fen'you'xian'gong'si 江苏长青农化股份有限公司
'jiang'su'chang'zhou'wu'shi'hua'gong'you'xian'gong'si 江苏常州武士化工有限公司
'jiang'su'chun'jiang'nong'hua'you'xian'gong'si 江苏春江农化有限公司
'jiang'su'de'da'sheng'wu'gong'cheng'you'xian'gong'si 江苏德大生物工程有限公司
'jiang'su'di'ai'te'hua'gong'you'xian'gong'si 江苏帝爱特化工有限公司
'jiang'su'dong'bao'nong'yao'hua'you'xian'gong'si 江苏东宝农药化有限公司
'jiang'su'dong'jin'nong'yao'hua'gong'chang 江苏东进农药化工厂
'jiang'su'fei'xiang'hua'gong'gu'fen'you'xian'gong'si 江苏飞翔化工股份有限公司
'jiang'su'feng'deng'nong'yao'you'xian'gong'si 江苏丰登农药有限公司
'jiang'su'feng'shan'ji'tuan'you'xian'gong'si 江苏丰山集团有限公司
'jiang'su'feng'yuan'sheng'wu'hua'gong'you'xian'gong'si 江苏丰源生物化工有限公司
'jiang'su'fu'tian'nong'hua'you'xian'gong'si 江苏富田农化有限公司
'jiang'su'geng'yun'hua'xue'you'xian'gong'si 江苏耕耘化学有限公司
'jiang'su'guang'feng'nong'yao'you'xian'gong'si 江苏广丰农药有限公司
'jiang'su'he'xiao'hua'gong'you'xian'gong'si 江苏禾笑化工有限公司
'jiang'su'he'ye'nong'hua'you'xian'gong'si 江苏禾业农化有限公司
'jiang'su'hei'ying'hua'xue'gong'ye'you'xian'gong'si 江苏黑鹰化学工业有限公司
'jiang'su'hua'nong'sheng'wu'hua'xue'you'xian'gong'si 江苏华农生物化学有限公司
'jiang'su'hua'nong'zhong'yi'ji'you'xian'ze'ren'gong'si 江苏华农种衣剂有限责任公司
'jiang'su'hua'yu'nong'hua'you'xian'gong'si 江苏华裕农化有限公司
'jiang'su'huang'ma'nong'hua'you'xian'gong'si 江苏皇马农化有限公司
'jiang'su'hui'feng'nong'hua'gu'fen'you'xian'gong'si 江苏辉丰农化股份有限公司
'jiang'su'jia'long'hua'gong'you'xian'gong'si 江苏嘉隆化工有限公司
'jiang'su'jian'gu'hua'gong'you'xian'gong'si 江苏健谷化工有限公司
'jiang'su'jian'nong'nong'yao'hua'gong'you'xian'gong'si 江苏建农农药化工有限公司
'jiang'su'jian'pai'nong'yao'hua'gong'you'xian'gong'si 江苏剑牌农药化工有限公司
'jiang'su'jian'shen'sheng'wu'nong'hua'you'xian'gong'si 江苏健神生物农化有限公司
'jiang'su'jiang'nan'nong'hua'you'xian'gong'si 江苏江南农化有限公司
'jiang'su'jie'lai'ya'ji'tuan'you'xian'gong'si 江苏洁莱雅集团有限公司
'jiang'su'jie'li'san'san'you'xian'ze'ren'gong'si 江苏洁利三三有限责任公司
'jiang'su'jin'feng'huang'nong'hua'you'xian'gong'si 江苏金凤凰农化有限公司
'jiang'su'jin'pu'bei'fang'lv'jian'hua'gong'you'xian'gong'si 江苏金浦北方氯碱化工有限公司
'jiang'su'jing'run'guo'ji'mao'yi'you'xian'gong'si 江苏经润国际贸易有限公司
'jiang'su'kang'peng'nong'hua'you'xian'gong'si 江苏康鹏农化有限公司
'jiang'su'ke'sheng'ji'tuan'gu'fen'you'xian'gong'si 江苏克胜集团股份有限公司
'jiang'su'kuai'da'nong'hua'gu'fen'you'xian'gong'si 江苏快达农化股份有限公司
'jiang'su'li'da'nong'yao'you'xian'gong'si 江苏利达农药有限公司
'jiang'su'li'nong'hua'xue'you'xian'gong'si 江苏利农化学有限公司
'jiang'su'lian'he'nong'yong'hua'xue'you'xian'gong'si 江苏联合农用化学有限公司
'jiang'su'lian'hua'ke'ji'you'xian'gong'si 江苏联化科技有限公司
'jiang'su'liang'man'cang'nong'hua'you'xian'gong'si 江苏粮满仓农化有限公司
'jiang'su'long'deng'hua'xue'you'xian'gong'si 江苏龙灯化学有限公司
'jiang'su'long'li'qi'ji'tuan'you'xian'gong'si 江苏隆力奇集团有限公司
'jiang'su'lv'feng'sheng'wu'yao'ye'you'xian'gong'si 江苏绿丰生物药业有限公司
'jiang'su'lv'li'lai'gu'fen'you'xian'gong'si 江苏绿利来股份有限公司
'jiang'su'mei'lan'hua'gong'gu'fen'you'xian'gong'si 江苏梅兰化工股份有限公司
'jiang'su'nan'jing'chang'feng'nong'hua'you'xian'gong'si 江苏南京常丰农化有限公司
'jiang'su'nan'tong'long'deng'hua'gong'you'xian'gong'si 江苏南通龙灯化工有限公司
'jiang'su'pan'xi'hua'gong'you'xian'gong'si 江苏磐希化工有限公司
'jiang'su'qi'zhou'lv'se'hua'gong'gu'fen'you'xian'gong'si 江苏七洲绿色化工股份有限公司
'jiang'su'qia'yi'nong'hua'you'xian'gong'si 江苏洽益农化有限公司
'jiang'su'qiao'ji'sheng'wu'hua'xue'you'xian'gong'si 江苏侨基生物化学有限公司
'jiang'su'rui'bang'nong'yao'chang 江苏瑞邦农药厂
'jiang'su'rui'dong'nong'yao'you'xian'gong'si 江苏瑞东农药有限公司
'jiang'su'rui'he'hua'xue'you'xian'gong'si 江苏瑞禾化学有限公司
'jiang'su'rui'ze'nong'hua'you'xian'gong'si 江苏瑞泽农化有限公司
'jiang'su'san'di'hua'xue'you'xian'gong'si 江苏三迪化学有限公司
'jiang'su'san'quan'nong'hua'you'xian'ze'ren'gong'si 江苏三泉农化有限责任公司
'jiang'su'san'xiao'ji'tuan'you'xian'gong'si 江苏三笑集团有限公司
'jiang'su'she'yang'huang'hai'nong'yao'hua'gong'you'xian'gong'si 江苏射阳黄海农药化工有限公司
'jiang'su'sheng'chang'shu'shi'hua'gong'chang 江苏省常熟市化工厂
'jiang'su'sheng'chang'shu'shi'mo'cheng'nong'yao'chang 江苏省常熟市莫城农药厂
'jiang'su'sheng'chang'shu'shi'nong'yao'chang'you'xian'gong'si 江苏省常熟市农药厂有限公司
'jiang'su'sheng'chang'shu'shi'yi'nong'nong'hua'you'xian'gong'si 江苏省常熟市义农农化有限公司
'jiang'su'sheng'chang'zhou'hua'gong'chang 江苏省常州化工厂
'jiang'su'sheng'chang'zhou'hua'xia'nong'yao'you'xian'gong'si 江苏省常州华夏农药有限公司
'jiang'su'sheng'chang'zhou'lan'ling'zhi'yao'you'xian'gong'si 江苏省常州兰陵制药有限公司
'jiang'su'sheng'chang'zhou'shi'lv'feng'sheng'hua'you'xian'gong'si 江苏省常州市绿风生化有限公司
'jiang'su'sheng'chang'zhou'shi'nong'lin'yao'ye'you'xian'gong'si 江苏省常州市农林药业有限公司
'jiang'su'sheng'chang'zhou'shi'zhi'wu'yao'pin'chang 江苏省常州市植物药品厂
'jiang'su'sheng'chang'zhou'yong'tai'feng'hua'gong'you'xian'gong'si 江苏省常州永泰丰化工有限公司
'jiang'su'sheng'dan'yang'shi'nong'yao'hua'gong'chang 江苏省丹阳市农药化工厂
'jiang'su'sheng'dong'tai'qiu'yuan'hua'gong'you'xian'gong'si 江苏省东台秋元化工有限公司
'jiang'su'sheng'dong'tai'shi'nong'yao'hua'gong'you'xian'gong'si 江苏省东台市农药化工有限公司
'jiang'su'sheng'gao'you'shi'feng'tian'nong'yao'you'xian'gong'si 江苏省高邮市丰田农药有限公司
'jiang'su'sheng'guo'ying'jiang'xin'sha'hua'gong'chang 江苏省国营江心沙化工厂
'jiang'su'sheng'guo'ying'kun'shan'sheng'wu'hua'xue'chang 江苏省国营昆山生物化学厂
'jiang'su'sheng'hai'an'xian'nong'yao'chang 江苏省海安县农药厂
'jiang'su'sheng'hong'ze'xian'wu'ji'hua'gong'chang 江苏省洪泽县无机化工厂
'jiang'su'sheng'hua'nong'yao'you'xian'gong'si 江苏生花农药有限公司
'jiang'su'sheng'huai'an'shi'bi'yao'ri'hua'you'xian'gong'si 江苏省淮安市必要日化有限公司
'jiang'su'sheng'ji'su'yan'jiu'suo'you'xian'gong'si 江苏省激素研究所有限公司
'jiang'su'sheng'jian'hu'xian'hua'gong'chang 江苏省建湖县化工厂
'jiang'su'sheng'jiang'du'xian'zhi'bao'yao'ji'chang 江苏省江都县植保药剂厂
'jiang'su'sheng'jiang'yin'kai'jiang'nong'hua'you'xian'gong'si 江苏省江阴凯江农化有限公司
'jiang'su'sheng'jiang'yin'shi'fu'da'nong'hua'you'xian'gong'si 江苏省江阴市福达农化有限公司
'jiang'su'sheng'jiang'yin'shi'pan'long'hua'gong'chang 江苏省江阴市蟠龙化工厂
'jiang'su'sheng'jin'tan'shi'xing'da'hua'gong'chang 江苏省金坛市兴达化工厂
'jiang'su'sheng'jin'tan'shi'ya'tai'hua'xue'yan'jiu'suo 江苏省金坛市亚太化学研究所
'jiang'su'sheng'jin'tan'xian'nong'yao'chang 江苏省金坛县农药厂
'jiang'su'sheng'jing'jiang'shi'jin'tun'nong'hua'you'xian'gong'si 江苏省靖江市金囤农化有限公司
'jiang'su'sheng'jing'jiang'shi'xin'mao'shuo'hua'chang 江苏省靖江市新茂朔化厂
'jiang'su'sheng'kun'shan'rui'ze'nong'yao'you'xian'gong'si 江苏省昆山瑞泽农药有限公司
'jiang'su'sheng'kun'shan'shi'ding'feng'nong'yao'you'xian'gong'si 江苏省昆山市鼎烽农药有限公司
'jiang'su'sheng'li'min'hua'gong'you'xian'ze'ren'gong'si 江苏省利民化工有限责任公司
'jiang'su'sheng'li'yang'shi'hua'gong'chang 江苏省溧阳市化工厂
'jiang'su'sheng'li'yang'shi'nong'yao'fu'pei'chang 江苏省溧阳市农药复配厂
'jiang'su'sheng'li'yang'zhong'nan'hua'gong'you'xian'gong'si 江苏省溧阳中南化工有限公司
'jiang'su'sheng'lian'shui'hua'gong'zong'chang 江苏省涟水化工总厂
'jiang'su'sheng'lian'yun'gang'hai'shui'hua'gong'yi'chang 江苏省连云港海水化工一厂
'jiang'su'sheng'lian'yun'gang'shi'hai'tang'hua'gong'chang 江苏省连云港市海棠化工厂
'jiang'su'sheng'nan'jing'bao'feng'nong'yao'chang 江苏省南京保丰农药厂
'jiang'su'sheng'nan'jing'bo'chen'nong'hua'you'xian'gong'si 江苏省南京博臣农化有限公司
'jiang'su'sheng'nan'jing'di'yi'nong'yao'you'xian'gong'si 江苏省南京第一农药有限公司
'jiang'su'sheng'nan'jing'dong'hua'za'cao'ji'shu'yan'jiu'suo 江苏省南京东华杂草技术研究所
'jiang'su'sheng'nan'jing'hai'pu'hua'gong'you'xian'gong'si 江苏省南京海浦化工有限公司
'jiang'su'sheng'nan'jing'hong'hua'ri'yong'pin'chang 江苏省南京红花日用品厂
'jiang'su'sheng'nan'jing'hong'tai'yang'gu'fen'you'xian'gong'si 江苏省南京红太阳股份有限公司
'jiang'su'sheng'nan'jing'hui'yu'nong'hua'you'xian'gong'si 江苏省南京惠宇农化有限公司
'jiang'su'sheng'nan'jing'kang'hui'hua'xue'pin'you'xian'gong'si 江苏省南京康辉化学品有限公司
'jiang'su'sheng'nan'jing'rong'cheng'hua'gong'you'xian'gong'si 江苏省南京荣诚化工有限公司
'jiang'su'sheng'nan'jing'shi'gao'chun'xian'nong'yao'hua'gong'chang 江苏省南京市高淳县农药化工厂
'jiang'su'sheng'nan'jing'shi'mei'shan'hua'gong'zong'chang 江苏省南京市梅山化工总厂
'jiang'su'sheng'nan'jing'shuang'feng'ri'yong'wei'sheng'hua'gong'chang 江苏省南京双峰日用卫生化工厂
'jiang'su'sheng'nan'jing'xiang'yu'nong'yao'you'xian'gong'si 江苏省南京祥宇农药有限公司
'jiang'su'sheng'nan'tong'bao'ye'hua'gong'you'xian'gong'si 江苏省南通宝叶化工有限公司
'jiang'su'sheng'nan'tong'feng'tian'hua'gong'you'xian'gong'si 江苏省南通丰田化工有限公司
'jiang'su'sheng'nan'tong'hong'yang'hua'gong'you'xian'gong'si 江苏省南通宏洋化工有限公司
'jiang'su'sheng'nan'tong'jia'he'hua'gong'you'xian'gong'si 江苏省南通嘉禾化工有限公司
'jiang'su'sheng'nan'tong'jin'ling'nong'hua'you'xian'gong'si 江苏省南通金陵农化有限公司
'jiang'su'sheng'nan'tong'li'hua'nong'hua'you'xian'gong'si 江苏省南通利华农化有限公司
'jiang'su'sheng'nan'tong'shi'hua'gong'yan'jiu'suo 江苏省南通市化工研究所
'jiang'su'sheng'nan'tong'shi'zhuang'hua'gong'you'xian'gong'si 江苏省南通施壮化工有限公司
'jiang'su'sheng'nan'tong'tai'he'hua'gong'you'xian'gong'si 江苏省南通泰禾化工有限公司
'jiang'su'sheng'nan'tong'tong'ji'hua'gong'you'xian'gong'si 江苏省南通同济化工有限公司
'jiang'su'sheng'nan'tong'zheng'da'nong'hua'you'xian'gong'si 江苏省南通正达农化有限公司
'jiang'su'sheng'nong'ke'yuan'zhi'bao'suo'tong'jing'nong'yao'chang 江苏省农科院植保所铜井农药厂
'jiang'su'sheng'nong'ken'sheng'wu'hua'xue'you'xian'gong'si 江苏省农垦生物化学有限公司
'jiang'su'sheng'nong'yao'yan'jiu'suo'gu'fen'you'xian'gong'si 江苏省农药研究所股份有限公司
'jiang'su'sheng'nong'yao'yan'jiu'suo'jia'gong'shi'yan'chang 江苏省农药研究所加工试验厂
'jiang'su'sheng'pi'zhou'shi'jin'di'nong'hua'you'xian'gong'si 江苏省邳州市金地农化有限公司
'jiang'su'sheng'ru'gao'shi'lv'de'feng'nong'yao'chang 江苏省如皋市绿得丰农药厂
'jiang'su'sheng'ru'gao'shi'nong'yao'chang 江苏省如皋市农药厂
'jiang'su'sheng'shuang'ling'hua'gong'ji'tuan'you'xian'gong'si 江苏省双菱化工集团有限公司
'jiang'su'sheng'si'hong'xian'nong'yao'chang 江苏省泗洪县农药厂
'jiang'su'sheng'su'ke'nong'hua'you'xian'ze'ren'gong'si 江苏省苏科农化有限责任公司
'jiang'su'sheng'su'qian'xi'qiang'hua'gong'you'xian'gong'si 江苏省宿迁喜强化工有限公司
'jiang'su'sheng'su'yu'geng'che'yong'hong'hua'gong'chang 江苏省宿豫耿车永红化工厂
'jiang'su'sheng'su'zhou'hua'gong'nong'yao'ji'tuan'gong'si 江苏省苏州化工农药集团公司
'jiang'su'sheng'su'zhou'shi'de'da'hua'gong'chang 江苏省苏州市德大化工厂
'jiang'su'sheng'tai'cang'da'zhong'hua'xue'you'xian'gong'si 江苏省太仓大塚化学有限公司
'jiang'su'sheng'tai'cang'shi'chang'jiang'hua'gong'chang 江苏省太仓市长江化工厂
'jiang'su'sheng'tai'hu'di'qu'nong'ke'suo 江苏省太湖地区农科所
'jiang'su'sheng'tai'xing'shi'dong'feng'nong'yao'hua'gong'chang 江苏省泰兴市东风农药化工厂
'jiang'su'sheng'tong'zhou'lv'bang'nong'hua'you'xian'gong'si 江苏省通州绿邦农化有限公司
'jiang'su'sheng'tong'zhou'shi'sheng'wu'yao'chang 江苏省通州市生物药厂
'jiang'su'sheng'wu'fang'hua'gong'you'xian'gong'si 江苏省五方化工有限公司
'jiang'su'sheng'wu'jiang'hong'qi'hua'gong'chang 江苏省吴江红旗化工厂
'jiang'su'sheng'wu'jiang'sen'liang'hua'gong'you'xian'gong'si 江苏省吴江森亮化工有限公司
'jiang'su'sheng'wu'jin'ming'feng'nong'yao'chang 江苏省武进鸣凤农药厂
'jiang'su'sheng'wu'jin'nong'yao'chang 江苏省武进农药厂
'jiang'su'sheng'wu'xi'long'bang'hua'gong'you'xian'gong'si 江苏省无锡龙邦化工有限公司
'jiang'su'sheng'wu'xi'shi'lv'jiang'hua'gong'you'xian'gong'si 江苏省无锡市闾江化工有限公司
'jiang'su'sheng'wu'xi'shi'nong'yao'chang 江苏省无锡市农药厂
'jiang'su'sheng'wu'xi'shi'xi'nan'nong'yao'you'xian'gong'si 江苏省无锡市锡南农药有限公司
'jiang'su'sheng'xi'shan'shi'sheng'wu'nong'yao'chang 江苏省锡山市生物农药厂
'jiang'su'sheng'xin'he'nong'yong'hua'gong'you'xian'gong'si 江苏省新河农用化工有限公司
'jiang'su'sheng'xin'yi'shi'ke'da'nong'yao'chang 江苏省新沂市科大农药厂
'jiang'su'sheng'xing'hua'shi'long'feng'nong'yao'chang 江苏省兴化市龙丰农药厂
'jiang'su'sheng'xu'yi'xian'nong'yao'chang 江苏省盱眙县农药厂
